Designator,Mid X,Mid Y,Rotation,Layer
C1,120.5,-93.0,90.0,top
C3,130.55,-83.0,0.0,top
C6,120.5,-75.0,0.0,top
C7,120.95,-83.0,90.0,top
D1,114.5,-79.0,0.0,top
D2,120.5,-87.0,0.0,top
J1,106.0,-71.13,270.0,top
J2,107.5,-90.5,180.0,top
R1,138.0,-69.0,0.0,top
R2,138.0,-78.0,0.0,top
R3,130.5,-78.0,0.0,top
R4,124.98,-93.97,90.0,top
R5,115.5,-87.0,0.0,top
SW1,147.5,-44.0,0.0,top
SW2,157.0,-54.0,0.0,top
SW3,157.02,-67.25,0.0,top
SW4,157.02,-79.25,0.0,top
SW5,157.0,-91.5,0.0,top
SW6,104.0,-48.5,270.0,top
U1,127.75,-45.14,0.0,top
U2,136.8625,-93.45,180.0,top
U3,124.8625,-89.05,180.0,top
